수집일자,상품번호,리뷰ID,작성일,별점,체험단여부,리뷰타입,옵션,피부타입,피부톤,피부고민,도움수,유용점수,포토여부,재구매,닉네임,리뷰본문
2026-08-05,A000000223414,63497008,2026.07.30,5,1,OFFLINE,마데카소사이드 흔적리페어 1매,A01,B05,"C01,C05",7,6552.0,1,0,디오니소스통,안색이 좋아지는 느낌적인 느낌을 받을 수있음. 가성비 팩이라 1일1팩도 가능함 but 노랑이는 약간의 자극이 있음 민감성은 웬만해선 파랑색쓰시길!
2026-08-05,A000000223414,63496922,2026.07.30,5,1,OFFLINE,비타민씨 잡티토닝 1매,A01,B05,"C01,C05",6,5832.0,1,0,디오니소스통,안색이 좋아지는 느낌적인 느낌을 받을 수있음. 가성비 팩이라 1일1팩도 가능함 but 노랑이는 약간의 자극이 있음 민감성은 웬만해선 파랑색쓰시길!
2026-08-05,A000000182630,63685872,2026.08.03,5,0,NORMAL,[수분진정] 1번 패드 70+70매,A02,B04,C02,0,1800.0,1,0,효딩딩,요즘 날씨가 너무 더워서 얼굴에 열감이 많이 올라오더라구요 성분좋은 시원한 쿨링패드 찾다가 사봤습니다 일단 면이 너무 부드러워요 저는 피부가 열도 잘나고 예민해서 토너패드 까끌거리면 못쓰거든요 근데 확실히 부드러워서 닦토하기도 좋고 또 하나를 두개로 나눠쓸수 있어서 경제적이어서 좋아요 리필도 넉넉하게 주는 기획세트라 쟁여놓으면 여름내내 잘쓸것같아요
2026-08-05,A000000207225,63686437,2026.08.03,5,0,NORMAL, ,A02,B04,C02,0,1800.0,1,0,효딩딩,얼굴에도 땀이 많이나는 여름이라 그런지 습해도 얼굴에 보습이 부족한게 느껴져서 수분세럼 찾다가 사봤습니다 처음발랐을때 엄청 촉촉하고 발림성있게 발리는데 또 끈적이지 않고 금방 보송해져서 여름에 쓰기좋은것같아요 저는 건성이지만 끈적임이 없는 수분제품이라 지성 복합성 다 쓰기 좋은 제품같아요 아 또 좋은점이 리필이 팩형이라 저는 마음에 들었습니다
2026-08-05,A000000207225,63754708,2026.08.05,5,0,NORMAL, ,,,,0,396.0,1,0,Xooy,"여름에 더워서 개기름 장난아닐때쯤 기초 바꿔주니까 괜찮았어요 무난갑 수분세럼
여름에는 토너 1번세럼 선크림만 발라도 화장잘먹음"
2026-08-05,A000000231822,63687025,2026.08.03,5,0,NORMAL, ,A02,B04,C02,1,2520.0,1,0,효딩딩,와 이거 너무 신기해요 저 건성인간이라 파우더 여름에도 소량만 쓰고 스킨케어도 많이해서 얼굴 촉촉하게 유지하는 타입인데 이거는 스킨케어 다한얼굴에 해도 하나도 안건조하고 바르고 볼만져봣는데 진짜 엄청 부드럽더라고요 여름에 스킨케어하고나면 머리카락 다달라붙는데 이거쓰면 그럴걱정도 없고 너무 편할것같아요! 가루가 엄청 곱습니다
2026-08-05,A000000231822,63209623,2026.07.24,5,0,NORMAL, ,A02,B01,"C01,C04",1,1125.0,1,0,81프로서울지점,"이거 좋습니다. 다 쓰면 꼭 재구매 할 거에요... 저의 구매 및 평가 기준을 설명 드리자면

➡️ 외출용 X, 스킨케어 후 끈적임 방지로 얼굴 외곽에만 바르는 용도로, 스킨케어와 뭉치거나 퍼프가 떡지지 않았는지?
➡️ 사용 후 모공 막힘 등으로 여드름이 나지는 않았는지?
➡️ 너무 건조해서 속건조가 느껴지지 않았는지?
이거였는데 세 기준 다 너무 만족했어요. 

특히 첫번째. 일본에서 유명하다는 약용 파우더는 다 프레스드 타입이라서 잘 발리지도 않고 퍼프가 엄청 떡지더라고요... 근데 이거는 스킨케어 빡세게 하고 퍽퍽 두들겨도 퍼프가 안 떡져요 너무 좋아요...
여드름이 방지되는건 잘 모르겠는데 여드름이 나지는 않았고 적당히 보송합니다.

저는 지성이 아니라 얼굴피부 전체에 기름 억제용으로 이 파우더를 바를 필요는 없었다는 점!! 참고 부탁드립니다. 이런 니즈를 가지신 분들은 드레싱 파우더를 구매하세요(오랫동안 품절인데, 넘버즈인에서 재생산 확정되었다고 합니다~!!).

그래도 리뷰를 하자면 뭔가 뽀송은 아니고 바스락거리는 사용감이며, 때문에 피부 표현이 예쁘게 될 지는 잘 모르겠습니다. 
스킨케어를 너무 빡세게 하면 반죽처럼 뭉치는 경우(특히 턱에)가 있었으니 스킨케어 및 파운데이션을 바르실 때 주의하셔야 할 것 같습니다.
가루형+메쉬망으로 되어 있어서 막 꺼내면 분진이 날릴 수 있고요... 비교적 얌전히 두는 것이 제일 좋습니다. 잘 안 나온다는 후기가 있는데 메쉬망에 퍼프 대고 뒤로 뒤집은 후 퍽 때리면(1회) 적당히 묻어 나옵니다.
색이 다른 퍼프를 하나 증정해 주어서 바깥용/스킨케어용을 구분해서 사용하기 좋을 것 같았고, 퍼프는 보송보송 무난무난합니다."
2026-08-05,A000000245626,63339947,2026.07.27,5,1,GIFT,1매입,A03,B02,"C02,C05",1,810.0,0,0,이거다주세요,피부 각질 제거하고 싶을때 샤워중 간단히 사용하기 좋습니다. 글러브형식이라 손에 끼우고 구석구석 사용하기 편합니다. 사용후에는 피부결이 부드러워져서 좋았습니다. 거품이 생각보다 잘 나서 온몸에 사용하기 좋고 세정력도 만족스러웠습니다.
2026-08-05,A000000245626,63270168,2026.07.25,5,1,GIFT,1매입,A03,B01,C05,1,810.0,0,0,이모여기요,"요즘 날씨가 더워서 목욕탕을 잘 안가게 되는데, 그럴때마다 사용하는 런드리유! 몸에 각질을 깔끔하게 제거해주고, 보들보들한 피부로 완성시켜줍니다. 그렇다고 사용 후 너무 건조하지않고 사용후에 적당히 촉촉하여 재구매하고 싶은 꿀템입니다."
2026-08-05,A000000245626,62494717,2026.07.08,5,0,NORMAL,1매입,A03,B03,C02,1,756.0,1,0,델리아7,목욕할때 사용하는데 자극없이 부드럽게 각질케어 할수 있어서 너무 좋아요 요즘 잘 사용중이에요 정말 쵝오 😁👍🏻
